Year,Population
1981,229484
1982,234996
1983,241960
1984,247084
1985,255908
1986,262188
1987,268787
1988,274105
1989,279219
1990,285012
1991,291523
1992,296519
1993,300490
1994,303289
1995,307022
1996,310655
1997,310281
1998,312300
1999,315431
2000,318941
2001,322874
2002,325950
2003,327596
2004,329498
2005,333505
2006,338381
2007,344176
2008,351101
2009,357859
2010,364833
2011,367985
2012,371000
2013,378000
2014,384000
2015,390706
2016,396551
2017,402549
